,location,total_sqft,bath,price,bhk
51,Varthur,1160.0,2.0,44.0,2
52,Doddathoguru,1100.0,2.0,62.0,2
53,Gunjur,1140.0,2.0,43.0,2
54,Marathahalli,1220.0,2.0,57.0,2
55,Kanakpura Road,1005.0,2.0,36.68,2
56,Begur Road,1358.0,2.0,80.58,2
57,Hegde Nagar,1569.0,3.0,101.0,3
58,Haralur Road,1240.0,2.0,70.0,2
59,Hennur Road,2089.0,3.0,140.0,3
60,Kothannur,1206.0,2.0,48.23,2
61,Kalena Agrahara,1150.0,2.0,40.0,2
62,ISRO Layout,4400.0,6.0,250.0,6
63,Other,1660.0,2.0,105.0,3
64,Hennur Road,3203.5,2.0,224.5,4
65,Yelahanka,1326.0,2.0,78.0,2
66,Garudachar Palya,1325.0,2.0,60.8,3
67,Kanakpura Road,1665.0,3.0,88.0,3
68,Dasanapura,708.0,2.0,37.0,2
69,Kasavanhalli,1060.0,2.0,58.06,2
70,Sanjay nagar,1000.0,2.0,70.0,2
71,Other,1450.0,2.0,70.0,3
72,Thanisandra,1296.0,2.0,80.0,2
73,Domlur,1540.0,3.0,90.0,3
74,Sarjapura - Attibele Road,1330.0,2.0,48.0,3
75,Other,1200.0,2.0,65.0,2
76,Other,1200.0,3.0,90.0,3
77,Yeshwanthpur,2502.0,3.0,138.0,3
78,Kothanur,2400.0,2.0,150.0,3
79,Other,1007.0,2.0,43.0,2
80,Other,1200.0,2.0,50.0,2
81,Other,966.0,2.0,49.9,2
82,Nagarbhavi,1630.0,2.0,98.0,3
83,Other,782.0,2.0,55.68,2
84,Devanahalli,1260.0,2.0,66.78,2
85,Other,1800.0,3.0,120.0,3
86,Other,1413.0,2.0,75.0,3
87,Whitefield,1116.0,2.0,51.91,2
88,Electronic City,1530.0,2.0,45.9,3
89,Ramamurthy Nagar,3700.0,4.0,225.0,4
90,Sarjapur  Road,2497.0,3.0,140.0,3
91,Kengeri,1540.0,2.0,64.0,3
92,Thanisandra,1436.0,3.0,74.75,3
93,Malleshwaram,1100.0,2.0,75.0,2
94,Shampura,2650.0,4.0,150.0,4
95,Devanahalli,1282.0,2.0,68.52,3
96,Kadugodi,1050.0,2.0,34.0,2
97,LB Shastri Nagar,1600.0,3.0,65.0,3
98,Other,945.0,2.0,54.0,2
99,Hormavu,1500.0,2.0,78.0,2
100,Other,1870.0,3.0,110.0,3
101,Sarjapur,1600.0,3.0,75.0,3
102,Kudlu Gate,1535.0,3.0,83.0,3
103,Kanakpura Road,950.0,2.0,57.0,2
104,Devanahalli,1360.0,2.0,65.0,2
105,8th Phase JP Nagar,1073.5,2.0,54.005,2
106,Bommasandra Industrial Area,1280.0,3.0,50.4,3
107,Other,1260.0,2.0,85.05,3
108,Yelahanka,3050.0,5.0,213.0,5
109,Kasavanhalli,1563.05,3.0,105.0,3
110,ISRO Layout,1000.0,2.0,60.0,2
111,Anandapura,1167.0,2.0,43.76,2
112,Kothanur,1828.0,3.0,110.0,3
113,Kengeri Satellite Town,890.0,2.0,35.0,2
114,Kannamangala,957.0,2.0,58.0,2
115,Devarachikkanahalli,1250.0,2.0,44.0,3
116,Hulimavu,1125.0,2.0,50.0,2
117,Electronic City Phase II,1020.0,2.0,30.6,2
118,Kalena Agrahara,1200.0,2.0,50.0,2
119,Thanisandra,1735.0,3.0,135.0,3
120,Thanisandra,2050.0,3.0,145.0,3
121,Other,1350.0,2.0,48.0,3
122,Hosa Road,1063.0,2.0,32.0,2
123,Other,1904.0,3.0,150.0,3
124,Sarjapur,1242.5,2.0,43.49,2
125,Other,1425.0,2.0,75.0,3
126,Electronic City,1500.0,2.0,64.5,3
127,Electronic City,1060.0,2.0,60.0,2
128,Other,1470.0,2.0,70.0,3
129,Electronic City,1152.0,2.0,64.5,2
130,Electronic City,1350.0,2.0,56.0,3
131,CV Raman Nagar,1550.0,3.0,65.0,3
132,Other,1500.0,3.0,100.0,3
133,Nagavara,400.0,1.0,14.0,1
134,Electronic City,770.0,1.0,36.0,2
135,Hulimavu,1242.0,2.0,51.0,2
136,Thanisandra,2144.0,3.0,145.0,3
137,Vijayanagar,1704.0,3.0,110.0,3
138,Electronic City,1070.0,2.0,52.0,2
139,Other,1340.0,2.0,55.7,2
140,Electronic City,1025.0,2.0,46.0,2
141,KR Puram,1277.5,2.0,56.8,2
142,Marathahalli,1200.0,2.0,52.0,2
143,Kanakpura Road,2250.0,4.0,110.0,4
144,Pattandur Agrahara,1550.0,2.0,80.0,3
145,Marathahalli,1200.0,2.0,60.0,2
146,Yelahanka,1327.0,2.0,98.0,2
147,Kothanur,1186.0,2.0,58.0,2
148,Other,1783.0,3.0,115.0,3
149,HSR Layout,1400.0,3.0,56.0,3
150,Nagasandra,980.0,2.0,48.0,2
151,EPIP Zone,1285.0,2.0,82.0,2
152,Other,912.0,2.0,70.0,3
153,Whitefield,1225.0,2.0,47.6,2
154,Whitefield,1075.0,2.0,53.0,2
155,Kadugodi,1260.0,2.0,54.0,3
156,Yelahanka,1282.0,2.0,48.7,3
157,Kogilu,1909.0,3.0,88.0,3
158,Panathur,1359.0,2.0,87.0,2
159,Other,1207.0,2.0,43.5,2
160,Kammasandra,1595.0,3.0,65.0,3
161,Other,1798.0,3.0,89.0,3
162,Electronics City Phase 1,1475.0,3.0,78.29,3
163,Other,1580.0,3.0,100.0,3
164,Dasarahalli,1295.0,2.0,65.0,2
165,Magadi Road,3600.0,6.0,141.0,6
166,Electronic City,589.0,1.0,27.0,1
167,Other,1415.0,3.0,78.0,3
168,Sarjapur  Road,1787.0,3.0,98.29,3
169,Sarjapur  Road,1787.0,3.0,125.0,3
170,Koramangala,1475.0,2.0,90.0,3
171,Other,2000.0,4.0,75.5,4
172,Sarjapur  Road,984.0,2.0,44.28,2
173,Devanahalli,1630.0,2.0,74.82,3
174,7th Phase JP Nagar,1080.0,2.0,72.0,2
175,Other,1500.0,2.0,115.0,2
176,Hebbal,1900.0,3.0,119.0,3
177,Budigere,1153.0,2.0,56.4,2
178,Other,1148.0,2.0,60.0,2
179,Other,1110.0,2.0,55.0,2
180,Electronic City,1100.0,2.0,42.0,2
181,Other,1500.0,2.0,65.0,3
182,Other,1080.0,2.0,39.0,2
183,Vijayanagar,1933.0,3.0,129.0,3
184,Ramamurthy Nagar,3500.0,5.0,150.0,5
185,Other,1060.0,2.0,60.0,2
186,Other,1644.0,3.0,84.0,3
187,Other,1285.0,2.0,72.5,2
188,Electronic City,1200.0,3.0,90.0,3
189,Electronic City,910.0,2.0,40.0,2
190,Kothanur,1577.0,3.0,70.0,3
191,Other,4050.0,3.0,280.0,3
192,OMBR Layout,2420.0,3.0,185.0,3
193,Other,1060.0,2.0,55.0,2
194,7th Phase JP Nagar,1270.0,2.0,93.0,2
195,Other,1280.0,2.0,69.0,2
196,Horamavu Agara,1200.0,2.0,95.0,4
197,Sarjapur  Road,1025.0,2.0,36.0,2
198,Electronic City,1108.0,2.0,63.0,2
199,Other,3045.0,3.0,170.0,3
200,Vijayanagar,1500.0,3.0,75.5,3
201,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2
202,Budigere,1162.0,2.0,59.9,2
203,Sarjapur  Road,1035.0,2.0,49.2,2
204,Attibele,1600.0,4.0,52.8,4
205,Other,1464.0,3.0,46.0,3
206,Hennur Road,1866.0,2.0,61.58,3
207,Other,700.0,1.0,26.0,2
208,Kalena Agrahara,1804.0,3.0,120.0,3
209,Sarjapur,913.0,2.0,32.0,2
210,Talaghattapura,1868.0,3.0,131.0,3
211,Kengeri Satellite Town,883.0,2.0,45.0,2
212,Kogilu,1664.0,2.0,73.95,3
213,Hegde Nagar,2026.0,3.0,132.0,3
214,Balagere,1210.0,2.0,80.9,2
215,Other,4111.0,4.0,250.0,4
216,Kadugodi,1762.0,3.0,91.45,3
217,Jigani,1252.0,3.0,55.0,3
218,Gollarapalya Hosahalli,861.0,2.0,34.5,2
219,7th Phase JP Nagar,1420.0,2.0,100.0,3
220,Electronics City Phase 1,1490.0,3.0,78.8,3
221,Bisuvanahalli,1075.0,2.0,46.0,3
222,Old Madras Road,1425.0,2.0,94.0,3
223,Kalena Agrahara,1200.0,2.0,40.0,2
224,Kaggadasapura,1280.0,2.0,56.0,3
225,Other,1084.0,2.0,50.0,2
226,Kanakpura Road,1017.0,2.0,51.25,2
227,Haralur Road,1027.0,2.0,44.0,2
228,Electronic City Phase II,1069.0,2.0,45.0,2
229,Hebbal,1349.0,2.0,98.2,2
230,9th Phase JP Nagar,1005.0,2.0,50.0,2
231,Jakkur,1417.0,2.0,75.0,2
232,TC Palaya,1475.0,3.0,98.0,3
233,Other,950.0,2.0,47.0,2
234,Other,2000.0,4.0,120.0,4
235,Sarjapur  Road,1863.0,3.0,104.0,4
236,Singasandra,1010.0,2.0,29.5,2
237,Kalena Agrahara,1425.0,2.0,70.0,3
238,Vijayanagar,1450.0,3.0,100.0,3
239,Kothanur,1847.0,3.0,105.0,3
240,AECS Layout,1100.0,2.0,45.0,2
241,Kanakpura Road,525.0,1.0,26.0,1
242,Mallasandra,1665.0,3.0,95.0,3
243,Begur,1664.0,4.0,65.0,4
244,Panathur,1438.0,2.0,100.0,2
245,Other,1560.0,3.0,115.0,3
246,Yelahanka,1350.0,2.0,55.55,2
247,Kanakpura Road,1550.0,3.0,67.0,3
248,Malleshpalya,1140.0,2.0,46.5,2
249,Other,850.0,2.0,27.0,2
250,Whitefield,1280.0,2.0,75.0,2
251,Munnekollal,1170.0,2.0,52.0,2
252,Other,1113.0,2.0,51.0,2
253,Hennur Road,1385.0,2.0,83.09,2
254,Electronic City,1128.0,2.0,65.0,2
255,Haralur Road,1464.0,3.0,56.0,3
256,Other,1200.0,2.0,55.0,2
257,Kaval Byrasandra,1200.0,2.0,52.0,2
258,Kaggalipura,1150.0,2.0,55.0,3
259,Other,1645.0,3.0,95.0,3
260,Sarjapur  Road,1000.0,2.0,67.0,2
261,Haralur Road,2650.0,4.0,198.0,4
262,6th Phase JP Nagar,1192.0,2.0,74.0,2
263,Whitefield,1173.0,2.0,58.0,2
264,Uttarahalli,1020.0,2.0,45.0,2
265,Somasundara Palya,1600.0,3.0,64.0,3
266,Other,1200.0,2.0,79.0,2
267,Other,1230.0,2.0,48.0,2
268,Devarachikkanahalli,1250.0,2.0,40.0,2
269,Kalena Agrahara,1325.0,2.0,76.0,2
270,Basaveshwara Nagar,1200.0,2.0,65.0,2
271,Bommasandra,1260.0,3.0,49.36,3
272,Ardendale,1100.0,2.0,43.25,2
273,Harlur,1508.0,2.0,77.0,2
274,Other,1592.0,3.0,75.0,3
275,Akshaya Nagar,1388.0,2.0,57.0,2
276,Electronic City Phase II,630.0,1.0,28.35,1
277,Other,1762.0,3.0,125.0,3
278,Other,950.0,2.0,50.0,2
279,Magadi Road,1116.0,2.0,50.0,2
280,Narayanapura,1308.0,2.0,89.04,2
281,Other,1200.0,3.0,90.0,3
282,Bannerghatta Road,500.0,1.0,18.5,1
283,Hennur,1075.0,2.0,52.0,2
284,Bellandur,1205.0,2.0,66.0,2
285,5th Phase JP Nagar,1075.0,2.0,60.0,2
286,KR Puram,930.0,2.0,39.0,2
287,Balagere,1380.0,2.0,60.0,2
288,Kodigehaali,1166.0,2.0,55.0,2
289,Bannerghatta Road,1050.0,2.0,65.0,2
290,Begur Road,1200.0,2.0,46.8,2
291,Lakshminarayana Pura,1600.0,2.0,108.0,3
292,Billekahalli,1935.0,3.0,110.0,3
293,8th Phase JP Nagar,451.0,1.0,29.9,1
294,Electronic City,1800.0,3.0,95.0,3
295,Jalahalli,1400.0,3.0,77.0,3
296,Hegde Nagar,1801.0,3.0,115.0,3
297,Mahadevpura,1451.0,2.0,90.0,2
298,Anekal,1200.0,1.0,36.0,2
299,Begur Road,1160.0,2.0,44.0,2
300,Kanakpura Road,950.0,2.0,40.0,2
301,Other,1629.0,3.0,79.0,3
302,Vijayanagar,1826.0,3.0,121.0,3
303,7th Phase JP Nagar,1245.0,2.0,94.0,2
304,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2
305,Sompura,825.0,2.0,33.0,2
306,Yeshwanthpur,1693.0,3.0,108.0,3
307,Electronics City Phase 1,1113.27,2.0,53.0,2
308,Other,1460.0,2.0,58.0,2
309,Doddathoguru,1050.0,2.0,32.0,2
310,Dodda Nekkundi,1260.0,2.0,55.0,2
311,Hosur Road,1656.0,2.0,120.0,2
312,Chandapura,1208.0,3.0,45.0,3
313,Whitefield,3252.0,4.0,230.0,4
314,Battarahalli,1200.0,2.0,65.0,2
315,7th Phase JP Nagar,1175.0,2.0,82.0,2
316,Other,1185.0,2.0,38.0,2
317,Kengeri,750.0,2.0,38.0,2
318,Kanakpura Road,1550.0,3.0,64.5,3
319,Other,1760.0,3.0,88.0,3
320,Billekahalli,1125.0,2.0,62.0,2
321,Anandapura,1000.0,2.0,55.0,2
322,TC Palaya,1200.0,2.0,60.0,2
323,Ambalipura,1105.0,2.0,75.0,2
324,Hoodi,985.0,2.0,67.0,2
325,Balagere,1590.0,3.0,79.0,3
326,CV Raman Nagar,1120.0,2.0,55.0,2
327,Other,1069.0,2.0,55.0,2
328,Marathahalli,1933.0,3.0,140.0,3
329,Hosur Road,1194.0,2.0,69.0,2
330,Brookefield,1150.0,2.0,69.0,2
331,Yelenahalli,1240.0,2.0,47.12,2
332,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2
333,Other,1450.0,3.0,55.0,3
334,Other,1630.0,3.0,68.29,3
335,Dasanapura,708.0,1.0,40.0,2
336,Whitefield,11890.0,4.0,700.0,4
337,Bellandur,1250.0,2.0,76.0,2
338,7th Phase JP Nagar,1400.0,2.0,95.0,3
339,Sarjapur  Road,1670.0,2.0,57.0,3
340,Ardendale,1750.0,3.0,100.0,3
341,Vittasandra,1404.0,2.0,71.0,2
342,Hoodi,1715.0,2.0,95.0,3
343,Electronic City,630.0,1.0,34.65,1
344,Harlur,1752.12,3.0,135.0,3
345,Hulimavu,1650.0,3.0,78.0,3
346,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2
347,Sarjapur  Road,1346.0,2.0,74.03,2
348,Hormavu,1150.0,2.0,55.0,2
349,AECS Layout,1620.0,3.0,98.0,3
350,Marathahalli,950.0,2.0,46.96,2
351,Harlur,2450.0,3.0,120.0,3
352,Other,850.0,2.0,30.0,2
353,Padmanabhanagar,1020.0,2.0,63.0,2
354,Chikkalasandra,1100.0,2.0,50.0,2
355,Hebbal,1760.0,2.0,130.0,3
356,Ambalipura,1800.0,3.0,110.0,3
357,Akshaya Nagar,1070.0,2.0,54.0,2
358,Vidyaranyapura,1440.0,2.0,95.0,2
359,Amruthahalli,900.0,2.0,40.0,2
360,Whitefield,1130.0,2.0,42.16,2
361,Kodigehalli,1270.0,2.0,98.0,2
362,Other,1200.0,2.0,62.0,2
363,Other,4800.0,4.0,235.0,4
364,Other,1200.0,2.0,74.0,2
365,Subramanyapura,929.0,2.0,50.17,2
366,Other,1464.0,3.0,56.0,3
367,Other,2000.0,4.0,99.0,4
368,Chikkalasandra,1208.0,2.0,49.0,2
369,Hebbal Kempapura,1130.0,2.0,60.0,2
370,Other,1753.0,3.0,120.0,3
371,Hoodi,1196.0,2.0,94.42,2
372,Electronic City,1128.0,2.0,63.0,2
373,Other,1000.0,2.0,53.0,2
374,Yelahanka,1035.0,2.0,45.0,2
375,Kereguddadahalli,950.0,2.0,32.0,2
376,Bisuvanahalli,1075.0,2.0,36.0,3
377,Whitefield,1040.0,2.0,48.5,2
378,Other,720.0,2.0,45.0,2
379,Lingadheeranahalli,1511.0,3.0,95.0,3
380,Other,1300.0,3.0,58.0,3
381,Hoodi,1545.0,3.0,68.75,3
382,Vidyaranyapura,1062.0,2.0,38.0,2
383,Other,1115.0,2.0,40.0,2
384,JP Nagar,1000.0,2.0,35.0,2
385,Kambipura,883.0,2.0,45.0,2
386,Sarjapur  Road,1195.0,2.0,70.0,2
387,Other,700.0,1.0,41.0,1
388,Vittasandra,1246.0,2.0,67.0,2
389,Other,1600.0,4.0,80.0,4
390,Begur Road,1584.0,3.0,65.0,3
391,Hosur Road,1175.0,2.0,48.0,3
392,Other,1595.0,3.0,115.0,3
393,Electronic City,1599.0,3.0,125.0,3
394,Whitefield,1150.0,2.0,70.0,2
395,KR Puram,1155.0,2.0,42.74,2
396,Thanisandra,3000.0,4.0,120.0,4
397,Ramagondanahalli,1251.0,2.0,47.0,2
398,Other,1028.0,2.0,45.5,2
399,Arekere,1222.0,2.0,45.0,2
400,Bannerghatta Road,1170.0,2.0,66.0,3
401,Other,1385.0,2.0,48.48,3
402,HSR Layout,1372.0,2.0,68.0,2
403,Magadi Road,1282.0,2.0,49.0,3
404,Kanakpura Road,1135.0,2.0,39.73,2
405,Whitefield,1768.0,3.0,101.0,3
406,Other,1325.0,2.0,90.0,3
407,Electronic City,1599.0,3.0,99.0,3
408,Whitefield,1500.0,3.0,61.95,3
409,Uttarahalli,1286.0,2.0,63.0,2
410,Kammanahalli,2845.0,5.0,140.0,5
411,Other,1600.0,2.0,50.0,3
412,Hennur Road,1317.5,2.0,63.77,2
413,Munnekollal,1102.0,2.0,53.67,2
414,Yelahanka,1350.0,2.0,54.0,2
415,Banashankari,1200.0,2.0,42.0,3
416,Other,1800.0,1.0,80.0,2
417,Chikkabanavar,950.0,2.0,40.0,2
418,Kanakpura Road,525.0,1.0,27.25,1
419,Attibele,656.0,2.0,25.0,2
420,Other,1056.0,2.0,80.0,2
421,Bannerghatta Road,595.0,1.0,33.32,1
422,Other,1080.0,2.0,50.0,2
423,7th Phase JP Nagar,2225.0,3.0,160.0,3
424,Electronics City Phase 1,1490.0,3.0,84.0,3
425,Sarjapur  Road,1550.0,3.0,100.0,3
426,Whitefield,1600.0,3.0,86.0,3
427,Other,1160.0,2.0,55.0,2
428,Whitefield,4144.0,4.0,315.0,4
429,Sarjapur  Road,2100.0,3.0,125.0,3
430,Vittasandra,1404.0,2.0,69.3,2
431,Other,1544.0,3.0,120.0,3
432,Banashankari Stage III,1305.0,2.0,58.7,3
433,Marathahalli,1230.0,2.0,80.0,2
434,Other,1200.0,2.0,65.0,2
435,Harlur,1460.0,3.0,73.0,3
436,Gottigere,967.0,2.0,45.0,2
437,Other,540.0,1.0,36.0,1
438,Hormavu,715.0,1.0,46.0,1
439,Mysore Road,1020.0,2.0,48.95,2
440,Jigani,1020.0,2.0,40.0,2
441,Other,1180.0,2.0,42.0,2
442,Nehru Nagar,961.0,2.0,38.0,2
443,Kanakapura,1419.0,3.0,75.0,3
444,Other,1600.0,2.0,115.0,2
445,Other,416.0,1.0,18.5,1
446,HSR Layout,1430.0,2.0,65.0,3
447,Other,1260.0,2.0,45.0,2
448,Other,1630.0,3.0,85.0,3
449,Sarjapur  Road,1249.0,3.0,44.71,3
450,Kalena Agrahara,1450.0,2.0,85.0,3
451,Other,834.0,1.0,60.0,1
452,Arekere,2060.0,3.0,140.0,3
453,Raja Rajeshwari Nagar,1133.0,2.0,49.07,2
454,Bisuvanahalli,1075.0,2.0,37.0,3
455,Vidyaranyapura,1200.0,2.0,55.0,2
456,Thanisandra,1075.0,2.0,45.8,2
457,Kaggadasapura,1140.0,2.0,40.0,2
458,Raja Rajeshwari Nagar,1090.0,2.0,42.0,2
459,R.T. Nagar,1500.0,4.0,70.0,4
460,Whitefield,1790.0,3.0,100.0,3
461,Hebbal,1920.0,3.0,134.0,3
462,HRBR Layout,1374.0,2.0,95.0,2
463,Bannerghatta Road,1445.0,3.0,95.0,3
464,Kanakapura,711.0,1.0,36.0,1
465,Tumkur Road,1500.0,3.0,95.0,3
466,Whitefield,1720.0,3.0,100.0,3
467,Vasanthapura,1400.0,3.0,60.0,3
468,Kundalahalli,1030.0,2.0,49.0,2
469,Mysore Road,1200.0,2.0,85.0,2
470,Other,1375.0,3.0,70.0,3
471,Hegde Nagar,1050.0,1.0,56.0,2
472,Jalahalli,2250.0,3.0,160.0,3
473,Bellandur,1000.0,2.0,50.0,2
474,Other,469.0,1.0,25.0,1
475,Marathahalli,3800.0,4.0,250.0,4
476,Kambipura,883.0,2.0,29.0,2
477,GM Palaya,1820.0,2.0,86.0,3
478,Singasandra,1440.0,2.0,65.0,3
479,Other,3600.0,4.0,160.0,6
480,Mahadevpura,1225.0,2.0,48.0,2
481,Chikkalasandra,875.0,2.0,52.8,2
482,Jalahalli East,750.0,1.0,40.0,1
483,6th Phase JP Nagar,1180.0,2.0,80.0,2
484,Haralur Road,1194.0,2.0,47.0,2
485,Hennur Road,1500.0,2.0,62.0,3
486,Other,1160.0,2.0,52.2,2
487,Sarjapur,1128.0,2.0,60.0,2
488,Sarjapur  Road,1210.0,2.0,58.0,2
489,Kanakpura Road,1100.0,2.0,58.0,3
490,Bommasandra,1200.0,3.0,46.0,3
491,Other,1641.0,3.0,66.0,3
492,Horamavu Agara,1200.0,2.0,45.0,2
493,Raja Rajeshwari Nagar,1260.0,2.0,67.39,2
494,Mahadevpura,1720.0,3.0,78.0,3
495,Yelahanka,1132.5,2.0,48.13,2
496,Yelahanka,1210.0,2.0,45.98,2
497,Bisuvanahalli,1075.0,2.0,45.0,3
498,Thanisandra,1702.0,3.0,130.0,3
499,Raja Rajeshwari Nagar,1141.0,2.0,38.55,2
500,Other,2072.0,3.0,108.0,3
501,JP Nagar,5520.0,2.0,375.0,5
502,Other,1200.0,2.0,70.0,3
503,Other,1350.0,3.0,77.0,3
504,Other,1180.0,2.0,78.34,3
505,Bannerghatta Road,1640.0,2.0,120.0,3
506,Kodichikkanahalli,1190.0,2.0,57.0,3
507,Marathahalli,1019.0,2.0,49.85,2
508,Akshaya Nagar,1250.0,3.0,40.0,3
509,Whitefield,1140.0,2.0,56.0,2
510,Lingadheeranahalli,1683.0,3.0,109.0,3
511,Kaggadasapura,1515.0,3.0,83.3,3
512,Hoodi,2118.0,4.0,111.0,4
513,Bannerghatta Road,1380.0,3.0,58.0,4
514,Varthur Road,1083.0,2.0,61.75,2
515,Other,2300.0,3.0,120.0,3
516,Other,1240.0,2.0,60.0,2
517,Other,1750.0,3.0,120.0,3
518,Other,1230.0,2.0,43.48,2
519,Abbigere,985.0,2.0,40.39,2
520,Tindlu,1500.0,2.0,87.0,3
521,Other,950.0,2.0,44.0,2
522,Kothanur,1580.0,3.0,76.0,3
523,Hennur Road,2264.0,3.0,159.0,3
524,Kammasandra,810.0,2.0,24.5,2
525,Other,1045.0,2.0,45.0,2
526,Hebbal,1337.0,2.0,82.0,2
527,Begur Road,1500.0,2.0,54.0,3
528,Other,1570.0,3.0,62.0,3
529,Gubbalala,1470.0,2.0,82.0,3
530,Kengeri,1160.0,2.0,40.61,2
531,7th Phase JP Nagar,1050.0,2.0,71.0,2
532,Bannerghatta Road,1460.0,2.0,90.0,3
533,Hulimavu,1823.0,3.0,100.0,3
534,Electronic City,1094.0,2.0,42.0,2
535,Budigere,1153.0,2.0,57.0,2
536,Other,1325.0,3.0,57.0,3
537,Parappana Agrahara,1200.0,3.0,85.0,4
538,Jakkur,1590.0,2.0,125.0,3
539,Other,1202.0,2.0,48.0,2
540,Haralur Road,1202.0,2.0,53.0,2
541,Other,1200.0,2.0,62.5,2
542,Panathur,1688.0,3.0,118.0,3
543,Kaval Byrasandra,1020.0,2.0,52.0,2
544,Sarjapur,1185.0,2.0,47.0,2
545,Ramagondanahalli,1235.0,2.0,52.04,2
546,Banashankari,1077.0,2.0,37.64,2
547,Kengeri Satellite Town,1415.0,2.0,66.0,3
548,EPIP Zone,2330.0,3.0,162.0,3
549,Whitefield,805.0,2.0,35.0,2
550,Other,425.0,1.0,20.03,1
551,Whitefield,1155.0,2.0,59.95,2
552,Anekal,656.0,2.0,22.0,2
553,Other,1100.0,2.0,48.0,2
554,Mahadevpura,1150.0,2.0,52.0,2
555,Hegde Nagar,1341.0,2.0,97.0,2
556,Jakkur,1279.0,2.0,77.0,2
557,Electronic City Phase II,2225.0,4.0,98.88,4
558,Thanisandra,1185.0,2.0,43.51,2
559,Other,1750.0,3.0,85.0,3
560,Kudlu,1152.0,2.0,53.5,2
561,Varthur Road,2760.0,4.0,155.0,4
562,5th Phase JP Nagar,1070.0,2.0,39.0,2
563,Uttarahalli,1101.0,2.0,45.0,2
564,Other,775.0,2.0,55.0,2
565,Yeshwanthpur,667.0,1.0,36.85,1
566,Electronic City,1070.0,2.0,55.0,2
567,Old Airport Road,1875.0,2.0,110.0,3
568,Kundalahalli,735.0,2.0,57.99,2
569,Koramangala,1750.0,3.0,130.0,3
570,Marathahalli,1215.0,2.0,67.0,2
571,Vishwapriya Layout,820.0,2.0,30.0,2
572,Banashankari Stage VI,1177.5,2.0,59.935,2
573,Battarahalli,1779.0,3.0,89.61,3
574,Other,1105.0,2.0,58.0,2
575,Whitefield,1650.0,3.0,60.0,3
576,Cox Town,1975.0,3.0,150.0,3
577,Kammasandra,674.0,2.0,33.0,2
578,Kaggadasapura,1185.0,2.0,41.0,2
579,Thanisandra,445.0,1.0,28.0,1
580,HSR Layout,1475.0,3.0,75.0,3
581,Gottigere,1618.0,3.0,82.5,3
582,Koramangala,1120.0,2.0,65.0,2
583,Marathahalli,2181.0,3.0,152.0,4
584,Vidyaranyapura,1200.0,4.0,90.0,4
585,Bannerghatta Road,1556.0,2.0,59.13,3
586,Bannerghatta Road,1179.0,2.0,66.02,2
